,amplitude,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4
58,(-0.024672329364391232+0j),(-0.14353606967407792-0.04951179486887841j),(0.10975147370028904-0.02549144065346247j),(0.017218425026999842+0.15837096838009515j),(-0.022865319731154268+0.05606193676770902j),(0.8235981401163472+0.09746542076111894j),(0.20632307924949983+0.4489554136672446j),(0.1573423727807616-0.08262047548072657j),(-0.13315065188941527-0.20079701511417497j),(-0.04290845868425884-0.04691775977963269j)
59,(-0.125862239782371+0j),(-0.0245975538158619+0.015210986099762555j),(0.10387912007115846+0.053588383035328355j),(-0.14864362108564805-0.09552226056531767j),(0.015266406397887993+0.27092730366842377j),(0.27832442077596853+0.5549254195501312j),(0.061643784269749854+0.1388580388044637j),(-0.008740684328132414-0.20915866027412314j),(-0.017966375184354226-0.11160271478964967j),(-0.05856130190557459+0.05373522163805535j)
60,(-0.6202123682282367+0j),(0.004789889579284869+0.10264588083589851j),(-0.14250971200235546+0.017811942106120082j),(-0.11673167453899176-0.08049401442682462j),(0.5771369092846302-0.139998604260132j),(0.07936945044331875+0.7206267741959482j),(0.3230496649947748-0.2245574234078997j),(0.057212901707415276+0.02922033897032869j),(0.013613563410702575+0.10856471130020973j),(0.07751720270783613-0.09784497535393749j)
61,(0.4618565354079952+0j),(0.024300171612289916-0.0037216666997548203j),(-0.16010978222445954-0.048268883077223726j),(-0.17666095390427164-0.18813200690390122j),(0.31889147932659123-0.04631274352954351j),(0.7269885917059619+0.2957224637609509j),(0.10175795450025119-0.43349519045895674j),(-0.11219127555247456-0.002354208112178985j),(-0.026101968333590048-0.03915196486275339j),(0.002607472281134772-0.01088008472625749j)
62,(0.6085670734504395+0j),(0.04553220575608166+0.015293522815519411j),(0.15441637028036745-0.1525931664707869j),(0.10084843549178184+0.21818697193707287j),(0.04426830881079463+0.08272618700766349j),(0.7492601742541317+0.24448865612325907j),(-0.09430438176754928+0.1281454546544545j),(0.0029961580298075163-0.05765056815490499j),(0.14378957045206886-0.23052204931553089j),(-0.003562267730017137+0.056092847020427244j)
63,(-0.03218545651653973+0j),(0.024389000001003455-0.08585652953995053j),(-0.02053810984356519-0.02617327424191891j),(0.18372574219458454+0.23518611389759725j),(0.21567569966769698-0.1512250915681417j),(-0.19810304100947945-0.013928876804434652j),(-0.302439822304233-0.18192868615683835j),(-0.07391658576133688-0.17092057941802163j),(0.129883354304981-0.0002355221352890735j),(-0.11929282053957264-0.02123288551095459j)
64,(-0.29085373298924444+0j),(0.06183280980288804+0.026994520933904035j),(0.13085398224811326-0.06883620145560923j),(0.07743341145064128+0.20812589610837887j),(0.2457814326373799-0.49390102973555516j),(0.38316937677530305-0.09922986407384893j),(0.21545118459071233+0.1237840750874471j),(0.25664625738237706-0.010979829539994934j),(-0.11696920985855166+0.0942099938245256j),(-0.1028876739026153-0.0878856241087396j)
65,(0.20200911798430687+0j),(0.043380426293961924-0.09179053678546695j),(-0.004027834689672546+0.02074135701956871j),(-0.03576941179183134-0.1346492411177333j),(0.05773844532767135-0.21142626462977143j),(0.06627980861383248-0.7946533547023765j),(0.027948777897435176+0.30196356625586573j),(-0.02683978612160777-0.052582741902985446j),(0.14140071369848037-0.07651980315222077j),(0.004725498066239868+0.010283240711794648j)
66,(-0.32985699206228924+0j),(-0.04022451139160541+0.10122532134230924j),(0.08855396352813338+0.056029272280166846j),(0.09463584052047008-0.10642134681675372j),(0.10538844702247299-0.0020046410563304418j),(0.32827379416316615-0.7064176896427291j),(0.1003679186765239+0.1926981743987682j),(-0.056928512612735876+0.14901282964904772j),(-0.016297896812939167+0.02129042389133995j),(-0.08823490207925766+0.003315050155852147j)
67,(0.3122542424203807+0j),(0.007534405146522739+0.008945791954978952j),(0.09380654788629664-0.004006987105774601j),(0.184921422369854-0.050065755849596445j),(0.3175272255552585+0.016874821503142526j),(0.16372216887300656+0.17100496524647138j),(0.0936111680084912+0.16465487396316522j),(0.02725337955214812+0.22297383274567725j),(-0.11577807199433547+0.049366876567682946j),(0.05490373858019196-0.08697016075483882j)
